#,PRODUCTO,SERIAL,ACTIVO,INSERTOS Y ANILLO RETENEDOR,,,,,
120,TEE 2 (HXMXH O MXHXH),25322-280,PCT-TEE-038,SI,,,,,
121,TEE 2 (HXMXH O MXHXH),25322-281,PCT-TEE-039,SI,,,,,
122,TEE 3 (HXMXH O HXHXM),25322-282,PCT-TEE-040,SI,,,,,
123,TEE 3 (HXMXH O HXHXM),25322-283,PCT-TEE-041,SI,,,,,
124,TEE 3 (HXMXH O HXHXM),25322-284,PCT-TEE-042,SI,,,,,
125,TAPON,25322-295,PCT-PLG-017,NO,,,,,
126,TAPON,25322-296,PCT-PLG-018,NO,,,,,
127,TAPA,25322-297,PCT-CAP-017,NO,,,,,
128,TAPA,25322-298,PCT-CAP-018,NO,,,,,
129,TAPON,25322-303,PCT-PLG-021,NO,,,,,
130,TAPON,25322-304,PCT-PLG-022,NO,,,,,
131,TAPA,25322-305,PCT-CAP-021,NO,,,,,
132,TAPA,25322-306,PCT-CAP-022,NO,,,,,
133,TAPON,25322-307,PCT-PLG-023,NO,,,,,
134,TAPON,25322-308,PCT-PLG-024,NO,,,,,
135,TAPON,25322-309,PCT-PLG-025,NO,,,,,
136,TAPA,25322-310,PCT-CAP-023,NO,,,,,
137,TAPA,25322-311,PCT-CAP-024,NO,,,,,
138,TAPA,25322-312,PCT-CAP-025,NO,,,,,
,,TUBERIA 1502,,,,,,,
139,TUBO,PCT-23-21502-1-001,PCT-PUP-0167,SI,,,,,
140,TUBO,PCT-23-21502-1-002,PCT-PUP-0168,SI,,,,,
141,TUBO,PCT-23-21502-1-003,PCT-PUP-0169,SI,,,,,
142,TUBO,PCT-23-21502-1-004,PCT-PUP-0170,SI,,,,,
143,TUBO,PCT-23-21502-1-005,PCT-PUP-0171,SI,,,,,
144,TUBO,PCT-23-21502-1-006,PCT-PUP-0172,SI,,,,,
145,TUBO,PCT-23-21502-1-007,PCT-PUP-0173,SI,,,,,
146,TUBO,PCT-23-21502-1-008,PCT-PUP-0174,SI,,,,,
147,TUBO,PCT-23-21502-1-009,PCT-PUP-0175,SI,,,,,
148,TUBO,PCT-23-21502-1-010,PCT-PUP-0176,SI,,,,,
149,TUBO,PCT-24-21502-1-001,PCT-PUP-0177,SI,,,,,
150,TUBO,PCT-24-21502-1-002,PCT-PUP-0178,SI,,,,,
151,TUBO,PCT-24-21502-1-003,PCT-PUP-0179,SI,,,,,
152,TUBO,PCT-24-21502-1-004,PCT-PUP-0180,SI,,,,,
153,TUBO,PCT-24-21502-1-005,PCT-PUP-0181,SI,,,,,
154,TUBO,PCT-24-21502-1-006,PCT-PUP-0182,SI,,,,,
155,TUBO,PCT-24-21502-1-007,PCT-PUP-0183,SI,,,,,
156,TUBO,PCT-24-21502-1-008,PCT-PUP-0184,SI,,,,,
157,TUBO,PCT-24-21502-1-009,PCT-PUP-0185,SI,,,,,
158,TUBO,PCT-24-21502-1-010,PCT-PUP-0186,SI,,,,,
