,,,,,,,
#,Tipo,No. Activo,No. Serial,No. De Reporte de PH,FECHA,Observaciones,
152,90,PCT-90-036,PCT-23-4602-90-004,PCT-NDT-1-26-0089,3/25/26,,
153,90,PCT-90-045,PCT-23-4602-90-013,PCT-NDT-1-26-0089,3/25/26,,
154,90,PCT-90-052,PCT-23-4602-90-020,PCT-NDT-1-26-0089,3/25/26,,
155,90,PCT-90-034,PCT-23-4602-90-002,PCT-NDT-1-26-0086,3/23/26,,
156,90,PCT-90-049,PCT-23-4602-90-017,PCT-NDT-1-26-0086,3/23/26,,
157,90,PCT-90-046,PCT-23-4602-90-014,PCT-NDT-1-26-0089,3/25/26,,
158,90,PCT-90-044,PCT-23-4602-90-012,PCT-NDT-1-26-0089,3/25/26,,
159,90,PCT-90-039,PCT-23-4602-90-007,PCT-NDT-1-26-0089,3/25/26,,
160,90,PCT-90-050,PCT-23-4602-90-018,PCT-NDT-1-26-0086,3/23/26,,
161,90,PCT-90-043,PCT-23-4602-90-011,PCT-NDT-1-26-0089,3/25/26,,
162,90,PCT-90-042,PCT-23-4602-90-010,PCT-NDT-1-26-0089,3/25/26,,
163,Tubo,PCT-PUP-0490,EBS-4206-DJ-SS-1-4,PCT-NDT-1-26-0123,4/8/26,,
164,Tubo,PCT-PUP-0489,EBS-4206-DJ-SS-1-3,PCT-NDT-1-26-0123,4/8/26,,
165,Tubo,PCT-PUP-0491,EBS-4206-DJ-SS-1-6,PCT-NDT-1-26-0123,4/8/26,,
166,Tubo,PCT-PUP-0492,EBS-4206-DJ-SS-1-7,PCT-NDT-1-26-0125,4/8/26,,
167,Tubo,PCT-PUP-0458,EBS-4206-DJ-SS-5-4,PCT-NDT-1-26-0133,4/9/26,,
168,Tubo,PCT-PUP-0462,EBS-4206-DJ-SS-5-8,PCT-NDT-1-26-0133,4/9/26,,
169,Tubo,PCT-PUP-0468,EBS-4206-DJ-SS-4-6,PCT-NDT-1-26-0133,4/9/26,,
170,Tubo,PCT-PUP-0460,EBS-4206-DJ-SS-5-6,PCT-NDT-1-26-0133,4/9/26,,
171,Tubo,PCT-PUP-0466,EBS-4206-DJ-SS-4-4,PCT-NDT-1-26-0133,4/9/26,,
172,Tubo,PCT-PUP-0488,EBS-4206-DJ-SS-1-2,PCT-NDT-1-26-0125,4/8/26,,
173,Tubo,PCT-PUP-0467,EBS-4206-DJ-SS-4-5,PCT-NDT-1-26-0133,4/9/26,,
174,Tubo,PCT-PUP-0463,EBS-4206-DJ-SS-4-1,PCT-NDT-1-26-0133,4/9/26,,
175,45,PCT-45-079,PCT-24-4206-45-017,PCT-NDT-1-26-0091,3/26/26,,
