#,ESTADO,EQUIPO / ACTIVO,PRODUCTO,DESCRIPCION,PRUEBA / CALIBRACION,TIPO EQUIPO,ÁREA A INSPECIONAR
71,ACTIVO,PCT-CA-15,CARRETE ADAPTADOR,CARRETE ADAPTADOR 13 5/8 FLANGE BX-159 10000 X 21 1/4 FLANGE BX-165 5000  P.T: 5000 H2S LONG: 27.56 TEMP: -29 - 121 C,VT / PT / MT,INTEGRAL,CARA / P. MOJ
72,ACTIVO,PCT-CA-15,CARRETE ADAPTADOR,CARRETE ADAPTADOR 13 5/8 FLANGE BX-159 10000 X 21 1/4 FLANGE BX-165 5000  P.T: 5000 H2S LONG: 27.56 TEMP: -29 - 121 C,UTT,INTEGRAL,PARED
73,ACTIVO,PCT-CA-16,CARRETE ADAPTADOR,CARRETE ADAPTADOR 13 5/8 FLANGE RX-57 3000 X 13 5/8 FLANGE BX-160 5000  P.T: 3000 H2S LONG: 20 TEMP: -29 - 121 C,LT,SOLDADO,CAVIDAD
74,ACTIVO,PCT-CA-16,CARRETE ADAPTADOR,CARRETE ADAPTADOR 13 5/8 FLANGE RX-57 3000 X 13 5/8 FLANGE BX-160 5000  P.T: 3000 H2S LONG: 20 TEMP: -29 - 121 C,VT / PT / MT,SOLDADO,CARA / P. MOJ
75,ACTIVO,PCT-CA-16,CARRETE ADAPTADOR,CARRETE ADAPTADOR 13 5/8 FLANGE RX-57 3000 X 13 5/8 FLANGE BX-160 5000  P.T: 3000 H2S LONG: 20 TEMP: -29 - 121 C,VT / PT / MT,SOLDADO,SOLDADURA
76,ACTIVO,PCT-CA-16,CARRETE ADAPTADOR,CARRETE ADAPTADOR 13 5/8 FLANGE RX-57 3000 X 13 5/8 FLANGE BX-160 5000  P.T: 3000 H2S LONG: 20 TEMP: -29 - 121 C,UTT,SOLDADO,PARED
77,ACTIVO,PCT-CA-17,CARRETE ADAPTADOR,CARRETE ADAPTADOR 18 3/4 FLANGE BX-164 10000 X 21 1/4 FLANGE BX-165 5000  P.T: 5000 H2S LONG: 27.56 TEMP: -29 - 121 C,LT,INTEGRAL,CAVIDAD
78,ACTIVO,PCT-CA-17,CARRETE ADAPTADOR,CARRETE ADAPTADOR 18 3/4 FLANGE BX-164 10000 X 21 1/4 FLANGE BX-165 5000  P.T: 5000 H2S LONG: 27.56 TEMP: -29 - 121 C,VT / PT / MT,INTEGRAL,CARA / P. MOJ
79,ACTIVO,PCT-CA-17,CARRETE ADAPTADOR,CARRETE ADAPTADOR 18 3/4 FLANGE BX-164 10000 X 21 1/4 FLANGE BX-165 5000  P.T: 5000 H2S LONG: 27.56 TEMP: -29 - 121 C,UTT,INTEGRAL,PARED
80,ACTIVO,PCT-CA-18,CARRETE ADAPTADOR,CARRETE ADAPTADOR 7 1/16 FLANGE R-46 5000 X 11 FLANGE R-54 / RX-54 5000  P.T: 5000 H2S LONG: 23.62 TEMP: -29 - 121 C,LT,INTEGRAL,CAVIDAD
