Listado de equipos que no aplica UTT,,,,
,,,,
#,TIPO,ACTIVO,SERIAL,
88,TAPON,25322-291,PCT-PLG-015,
89,TAPON,25322-292,PCT-PLG-016,
90,TAPON,25322-295,PCT-PLG-017,
91,TAPON,25322-296,PCT-PLG-018,
92,TAPON,25322-299,PCT-PLG-019,
93,TAPON,25322-300,PCT-PLG-020,
94,TAPON,25322-303,PCT-PLG-021,
95,TAPON,25322-304,PCT-PLG-022,
96,TAPON,25322-307,PCT-PLG-023,
97,TAPON,25322-308,PCT-PLG-024,
98,TAPON,25322-309,PCT-PLG-025,
99,TAPON,25322-313,PCT-PLG-026,
100,TAPON,25322-315,PCT-PLG-027,
101,TAPON,25322-317,PCT-PLG-028,
102,TAPON,25322-318,PCT-PLG-029,
103,TAPON,25322-319,PCT-PLG-030,
104,TAPON,PCT-24-4206-P-005,PCT-PLG-031,
105,SSA,PCT-SSA-01,PCT-SSA-01,
106,SSA,PCT-SSA-02,PCT-SSA-02,
107,DSA,PCT-23-XO-2F/4F-001,PCT-XO-027,
108,DSA,PCT-23-XO-3F/4F-002,PCT-XO-031,
109,DSA,PCT-23-XO-7F/4F-001,PCT-XO-034,
110,DSA,PCT-24-X0-3F-10/15-001,PCT-XO-073,
111,DSA,1507267,PCT-XO-074,
112,DSA,25111-089,PCT-XO-272,
113,DSA,SM190025/01,PCT-XO-295,
