edo,invre_equipo,invre_serial,match_equipo_exact,match_serial_exact,match_equipo_norm,match_serial_norm,equipo_norm_hits,serial_norm_hits,suggest_norm_1,suggest_dist_1,suggest_norm_2,suggest_dist_2,suggest_norm_3,suggest_dist_3,suggest_norm_4,suggest_dist_4,suggest_norm_5,suggest_dist_5
WIP,PCT-XO-120,25322-043,0,0,0,0,,,PCTXO10,1,PCTXO12,1,PCTXO11,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-121,25322-044,0,0,0,0,,,PCTXO11,1,PCTXO12,1,PCTXO10,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-122,25322-045,0,0,0,0,,,PCTXO12,1,PCTXO10,2,PCTXO11,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-123,25322-046,0,0,0,0,,,PCTXO12,1,PCTXO10,2,PCTXO11,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-124,25322-047,0,0,0,0,,,PCTXO12,1,PCTXO10,2,PCTXO11,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-125,25322-048,0,0,0,0,,,PCTXO12,1,PCTXO10,2,PCTXO11,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-126,25322-049,0,0,0,0,,,PCTXO12,1,PCTXO16,1,PCTXO10,2,PCTXO11,2,PCTXO18,2
WIP,PCT-XO-127,25322-050,0,0,0,0,,,PCTXO12,1,PCTXO10,2,PCTXO11,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-128,25322-051,0,0,0,0,,,PCTXO12,1,PCTXO18,1,PCTXO10,2,PCTXO11,2,PCTXO16,2
WIP,PCT-XO-129,25322-052,0,0,0,0,,,PCTXO12,1,PCTXO10,2,PCTXO11,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-130,25322-053,0,0,0,0,,,PCTXO10,1,PCTXO11,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-131,25322-054,0,0,0,0,,,PCTXO11,1,PCTXO10,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-132,25322-055,0,0,0,0,,,PCTXO12,1,PCTXO10,2,PCTXO11,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-133,25322-056,0,0,0,0,,,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-134,25322-057,0,0,0,0,,,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-135,25322-058,0,0,0,0,,,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-136,25322-059,0,0,0,0,,,PCTXO16,1,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO18,2
WIP,PCT-XO-137,25322-060,0,0,0,0,,,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-138,25322-061,0,0,0,0,,,PCTXO18,1,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO16,2
WIP,PCT-XO-139,25322-062,0,0,0,0,,,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-140,25322-063,0,0,0,0,,,PCTXO10,1,PCTXO11,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-141,25322-064,0,0,0,0,,,PCTXO11,1,PCTXO10,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-142,25322-065,0,0,0,0,,,PCTXO12,1,PCTXO10,2,PCTXO11,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-143,25322-066,0,0,0,0,,,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-144,25322-067,0,0,0,0,,,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-145,25322-068,0,0,0,0,,,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-146,25322-069,0,0,0,0,,,PCTXO16,1,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO18,2
WIP,PCT-XO-147,25322-070,0,0,0,0,,,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-148,25322-071,0,0,0,0,,,PCTXO18,1,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO16,2
WIP,PCT-XO-149,25322-072,0,0,0,0,,,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-150,25322-073,0,0,0,0,,,PCTXO10,1,PCTXO11,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-151,25322-074,0,0,0,0,,,PCTXO11,1,PCTXO10,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-152,25322-075,0,0,0,0,,,PCTXO12,1,PCTXO10,2,PCTXO11,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-153,25322-076,0,0,0,0,,,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-154,25322-077,0,0,0,0,,,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-155,25322-078,0,0,0,0,,,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-156,25322-079,0,0,0,0,,,PCTXO16,1,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO18,2
WIP,PCT-XO-157,25322-080,0,0,0,0,,,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-158,25322-081,0,0,0,0,,,PCTXO18,1,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO16,2
WIP,PCT-XO-159,25322-082,0,0,0,0,,,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-160,25322-083,0,0,0,0,,,PCTXO10,1,PCTXO16,1,PCTXO11,2,PCTXO12,2,PCTXO18,2
WIP,PCT-XO-161,25322-084,0,0,0,0,,,PCTXO11,1,PCTXO16,1,PCTXO10,2,PCTXO12,2,PCTXO18,2
